# S,I,R,Nw
6498836,0,0,0
6498835,1,0,0
6498835,1,0,1
6498834,1,0,1
6498833,2,1,2
6498831,3,1,4
6498830,4,2,5
6498827,5,3,8
6498824,7,4,11
6498820,10,5,15
6498815,13,7,20
6498809,17,10,27
6498800,23,13,35
6498788,30,18,47
6498773,39,24,62
6498753,52,31,82
6498727,68,41,108
6498693,89,54,142
6498648,116,71,187
6498590,152,94,246
6498513,200,123,322
6498413,262,161,422
6498281,343,211,554
6498110,449,277,725
6497885,588,363,950
6497590,770,476,1245
6497205,1008,623,1630
6496701,1319,816,2134
6496041,1727,1068,2795
